TOP.5f9a2dd7.00018296	START
TOP.5f9a2dd7.00018296	folder_config->cwd	C:\Users\cdwil\OneDrive - afacademy.af.edu\CS210\easyHash\easyHash
TOP.5f9a2dd7.00018296	folder_config->install_dir	.
TOP.5f9a2dd7.00018296	folder_config->profile_dir	.
TOP.5f9a2dd7.00018296	folder_config->session_dir	.
TOP.5f9a2dd7.00018296	folder_config->shared_dir	.
TOP.5f9a2dd7.00018296	user_options->separator	:
TOP.5f9a2dd7.00018296	user_options->encoding_from	utf-8
TOP.5f9a2dd7.00018296	user_options->encoding_to	utf-8
TOP.5f9a2dd7.00018296	user_options->rule_buf_l	:
TOP.5f9a2dd7.00018296	user_options->rule_buf_r	:
TOP.5f9a2dd7.00018296	user_options->session	hashcat
TOP.5f9a2dd7.00018296	user_options->limit	0
TOP.5f9a2dd7.00018296	user_options->skip	0
TOP.5f9a2dd7.00018296	user_options->attack_mode	0
TOP.5f9a2dd7.00018296	user_options->benchmark	0
TOP.5f9a2dd7.00018296	user_options->benchmark_all	0
TOP.5f9a2dd7.00018296	user_options->bitmap_max	18
TOP.5f9a2dd7.00018296	user_options->bitmap_min	16
TOP.5f9a2dd7.00018296	user_options->debug_mode	0
TOP.5f9a2dd7.00018296	user_options->example_hashes	0
TOP.5f9a2dd7.00018296	user_options->force	0
TOP.5f9a2dd7.00018296	user_options->hwmon_disable	0
TOP.5f9a2dd7.00018296	user_options->hwmon_temp_abort	90
TOP.5f9a2dd7.00018296	user_options->hash_mode	500
TOP.5f9a2dd7.00018296	user_options->hex_charset	0
TOP.5f9a2dd7.00018296	user_options->hex_salt	0
TOP.5f9a2dd7.00018296	user_options->hex_wordlist	0
TOP.5f9a2dd7.00018296	user_options->hook_threads	12
TOP.5f9a2dd7.00018296	user_options->increment	0
TOP.5f9a2dd7.00018296	user_options->increment_max	256
TOP.5f9a2dd7.00018296	user_options->increment_min	1
TOP.5f9a2dd7.00018296	user_options->keep_guessing	0
TOP.5f9a2dd7.00018296	user_options->kernel_accel	0
TOP.5f9a2dd7.00018296	user_options->kernel_loops	0
TOP.5f9a2dd7.00018296	user_options->kernel_threads	0
TOP.5f9a2dd7.00018296	user_options->keyspace	0
TOP.5f9a2dd7.00018296	user_options->left	0
